taxa de cruzamento, taxa de mutação, tamanho da população, número de gerações, algoritmo de cruzamento, fitness, média
100,1,25,50,BLXab,4.1866357936015675e-08,0.16800785141566
100,1,50,50,BLXa,2.6744492420682775e-06,0.514499204479278
100,1,50,50,BLXab,1.4163849204607004e-08,0.195067622788477
100,1,100,50,BLXa,1.0398562455549154e-08,0.17129051055391384
100,1,100,50,BLXab,7.789364708798985e-10,0.06977161175635205
100,1,25,100,BLXa,2.3401220396568334e-05,0.21951124528150223
100,1,25,100,BLXab,8.926193117986259e-14,0.16043343475337796
100,1,50,100,BLXa,3.9968028886505635e-15,0.15088960014562583
100,1,50,100,BLXab,4.440892098500626e-16,0.09636421021285335
100,1,100,100,BLXa,4.440892098500626e-16,0.10540746029035658
100,1,100,100,BLXab,4.440892098500626e-16,0.0810532615803252
100,5,25,25,BLXa,0.10290171553652216,0.7812070665483449
100,5,25,25,BLXab,0.004732756714837638,0.7338698073017638
100,5,50,25,BLXa,0.023812418905617694,0.7172911285778548
100,5,50,25,BLXab,7.510055391479753e-05,0.27566045276276435
100,5,100,25,BLXa,0.0003837711412981726,0.6213884598527449
100,5,100,25,BLXab,8.340076860280377e-05,0.2878031663053944
100,5,25,50,BLXa,6.308302026569734e-05,0.14204554475240375
100,5,25,50,BLXab,7.212391364141979e-07,0.2946829840488237
100,5,50,50,BLXa,3.689043426291505e-08,0.1477469687325102
100,5,50,50,BLXab,7.346555053189263e-08,0.194044158875116
100,5,100,50,BLXa,4.613591686464247e-08,0.16781730529136407
100,5,100,50,BLXab,1.2634915336207087e-10,0.15869617730158214
100,5,25,100,BLXa,4.082512106151626e-12,0.13230136493497788
100,5,25,100,BLXab,1.2559162998471152e-07,0.16420744322181302
100,5,50,100,BLXa,1.1934009336300733e-11,0.13815089390067498
100,5,50,100,BLXab,4.440892098500626e-16,0.1130187788078672
100,5,100,100,BLXa,4.440892098500626e-16,0.06602200019571784
100,5,100,100,BLXab,4.440892098500626e-16,0.05518233820351617
100,10,25,25,BLXa,0.004080288574634938,0.6270091864646792
100,10,25,25,BLXab,0.007713393000301938,0.3615498660544366
100,10,50,25,BLXa,0.007884866151752323,0.5907779705125304
100,10,50,25,BLXab,3.8739154750278004e-05,0.2744872914034115
100,10,100,25,BLXa,0.00389756237830996,0.7511370048946631
100,10,100,25,BLXab,0.00018070873708753155,0.7123535469013295
100,10,25,50,BLXa,0.0008181128293753837,0.5389331627557299
100,10,25,50,BLXab,1.4544060622512234e-08,0.079222774846686
100,10,50,50,BLXa,1.7715313525901166e-05,0.10863934258837243
100,10,50,50,BLXab,9.780286136518157e-08,0.24189042908264521
100,10,100,50,BLXa,1.5065468206287846e-07,0.12480164344953533
100,10,100,50,BLXab,1.3736276560649685e-08,0.20984641902605364
100,10,25,100,BLXa,1.5048629009584147e-10,0.1775470819594242
100,10,25,100,BLXab,2.7005064850982308e-12,0.10594388143478115
100,10,50,100,BLXa,3.9968028886505635e-15,0.16291387678210437
100,10,50,100,BLXab,8.175682353339653e-13,0.07096008302819078
100,10,100,100,BLXa,4.440892098500626e-16,0.051751046394023226
100,10,100,100,BLXab,4.440892098500626e-16,0.14986392222972722
